"NOM_WILAYA","WILAYA","Confirmés","Nouveaux cas","Décés","Récupéré","Hospitalisés","Femelle","Male","Moin de 1 ans","1-14 ans","15-24 ans","25-49 ans","50-59 ans","sup 60 ans","NP","date"
"ADRAR",1,40,0,2,0,38,0,2,0,0,1,1,0,NA,NA,"01/05/2020"
"CHLEF",2,49,0,1,0,48,0,1,0,0,0,0,0,1,NA,"01/05/2020"
"LAGHOUAT",3,27,1,0,0,27,0,1,0,0,0,0,1,NA,NA,"01/05/2020"
"OUM EL BOUAGHI",4,75,5,5,0,70,2,0,0,0,0,1,0,1,NA,"01/05/2020"
"BATNA",5,35,1,4,0,31,4,3,0,0,0,0,2,1,2,"01/05/2020"
"BEJAIA",6,131,3,14,1,116,2,3,0,0,0,2,1,1,NA,"01/05/2020"
"BISKRA",7,58,2,6,2,50,0,1,0,0,0,0,0,1,NA,"01/05/2020"
"BECHAR",8,42,0,0,0,42,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"BLIDA",9,810,11,107,32,671,180,205,0,7,11,135,74,142,16,"01/05/2020"
"BOUIRA",10,27,2,3,0,24,2,1,0,0,0,0,2,1,NA,"01/05/2020"
"TAMENGHASSET",11,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TEBESSA",12,33,3,3,0,30,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TLEMCEN",13,99,5,6,0,93,2,5,0,0,0,1,2,2,1,"01/05/2020"
"TIARET",14,81,5,4,0,77,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TIZI OUZOU",15,105,1,15,2,88,16,24,0,0,2,13,3,21,NA,"01/05/2020"
"ALGER",16,517,10,108,11,398,61,93,0,1,0,51,37,59,6,"01/05/2020"
"DJELFA",17,59,5,5,0,54,1,0,0,0,0,0,0,1,NA,"01/05/2020"
"JIJEL",18,46,1,5,0,41,1,1,0,0,0,0,1,1,NA,"01/05/2020"
"SETIF",19,209,12,16,2,191,3,4,0,0,1,1,2,1,NA,"01/05/2020"
"SAIDA",20,5,1,0,0,5,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"SKIKDA",21,48,0,4,3,41,3,3,0,0,0,1,1,1,1,"01/05/2020"
"SIDI BEL ABBES",22,50,2,6,0,44,1,1,0,0,0,0,1,1,NA,"01/05/2020"
"ANNABA",23,67,9,4,3,60,2,4,0,0,1,0,1,1,1,"01/05/2020"
"GUELMA",24,23,1,1,0,22,1,1,0,0,0,0,0,1,NA,"01/05/2020"
"CONSTANTINE",25,181,3,10,0,171,2,1,0,0,0,0,0,2,1,"01/05/2020"
"MEDEA",26,72,9,10,1,61,2,3,0,0,0,1,1,1,1,"01/05/2020"
"MOSTAGANEM",27,60,0,3,0,57,2,1,0,0,0,1,1,NA,NA,"01/05/2020"
"M'SILA",28,22,0,7,0,15,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"MASCARA",29,49,1,4,2,43,2,1,0,0,0,0,1,1,NA,"01/05/2020"
"OUARGLA",30,67,2,6,1,60,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"ORAN",31,246,3,13,0,233,22,40,0,0,7,24,12,17,2,"01/05/2020"
"EL BAYADH",32,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"ILLIZI",33,2,0,0,0,2,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"BORDJ BOU ARRERIDJ",34,109,11,20,0,89,2,4,0,0,1,2,0,2,NA,"01/05/2020"
"BOUMERDES",35,50,3,8,1,41,2,2,0,0,1,1,0,1,1,"01/05/2020"
"EL-TARF",36,16,0,0,0,16,0,2,0,0,0,0,1,1,NA,"01/05/2020"
"TINDOUF",37,6,6,0,0,6,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"TISSEMSILT",38,46,0,2,1,43,0,1,0,0,0,0,1,NA,NA,"01/05/2020"
"EL OUED",39,39,1,8,0,31,2,3,0,0,0,0,2,1,1,"01/05/2020"
"KHENCHELA",40,39,5,2,0,37,0,2,0,0,0,0,0,1,1,"01/05/2020"
"SOUK-AHRAS",41,15,2,1,0,14,1,1,0,0,0,1,0,1,NA,"01/05/2020"
"TIPAZA",42,143,3,23,0,120,3,6,0,0,1,2,2,2,1,"01/05/2020"
"MILA",43,16,4,1,0,15,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"AIN DEFLA",44,197,14,5,0,192,0,2,0,0,0,0,1,NA,NA,"01/05/2020"
"NAAMA",45,3,0,0,0,3,0,0,0,0,0,0,0,NA,NA,"01/05/2020"
"AIN-TEMOUCHENT",46,43,0,4,0,39,0,1,0,0,0,0,0,1,NA,"01/05/2020"
"GHARDAIA",47,60,1,4,0,56,0,1,0,0,0,0,1,NA,NA,"01/05/2020"
"RELIZANE",48,31,0,3,0,28,0,1,0,0,0,0,1,0,NA,"01/05/2020"
